country,date,daily_vaccinations,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,population
Afghanistan,01/25/2022,,,,,,
Afghanistan,01/26/2022,,5074196,4511372,3866279,,
Afghanistan,01/27/2022,6868,5081064,4517380,3868832,,
Afghanistan,01/28/2022,,5081064,,3868832,,
Afghanistan,01/29/2022,,5081064,,3868832,,
Afghanistan,01/30/2022,,5081064,,3868832,,
Afghanistan,01/31/2022,,5125146,4554648,3892831,,39822425
Albania,01/25/2022,,,,,,
Albania,01/26/2022,,,,,,
Albania,01/27/2022,,,,,,
Albania,01/28/2022,,,,,,
Albania,01/29/2022,,,,,,
Albania,01/30/2022,,2523683,1210040,1111520,202123,2873046
Albania,01/31/2022,,2523683,,1111520,,
Angola,01/25/2022,,,,,,
Angola,01/26/2022,,,,,,
Angola,01/27/2022,,,,,,
Angola,01/28/2022,,14588435,9713546,4731866,,33934485
Angola,01/29/2022,,14588435,,4731866,,
Angola,01/30/2022,,14588435,,4731866,,
Angola,01/31/2022,,14588435,,4731866,,
Anguilla,01/25/2022,,,,,,
Anguilla,01/26/2022,,,,,,
Anguilla,01/27/2022,,,,,,
Anguilla,01/28/2022,,21449,10193,9336,1920,15126
Anguilla,01/29/2022,,21449,,9336,,
Anguilla,01/30/2022,,21449,,9336,,
Anguilla,01/31/2022,,21449,,9336,,
Antigua and Barbuda,01/25/2022,,,,,,
Antigua and Barbuda,01/26/2022,,123555,63197,60358,,98726
Antigua and Barbuda,01/27/2022,,123555,,60358,,
Antigua and Barbuda,01/28/2022,,123555,,60358,,
Antigua and Barbuda,01/29/2022,,123555,,60358,,
Antigua and Barbuda,01/30/2022,,123555,,60358,,
Antigua and Barbuda,01/31/2022,,123555,,60358,,
Argentina,01/25/2022,,85763224,39445508,34414875,11656958,
Argentina,01/26/2022,,85763224,,34414875,,
Argentina,01/27/2022,,86151950,39494515,34497467,11911737,
Argentina,01/28/2022,373468,86525418,39543211,34580056,12151363,
Argentina,01/29/2022,371733,86897151,39586367,34652659,12405024,
Argentina,01/30/2022,315886,87213037,39618863,34708999,12630834,
Argentina,01/31/2022,363848,87576885,39663948,34788229,12868208,45605836
Armenia,01/25/2022,,,,,,
Armenia,01/26/2022,,,,,,
Armenia,01/27/2022,,,,,,
Armenia,01/28/2022,,,,,,
Armenia,01/29/2022,,,,,,
Armenia,01/30/2022,,1894651,1045611,837694,,2968277
Armenia,01/31/2022,,1894651,,837694,,
Aruba,01/25/2022,,166117,86444,79673,,
Aruba,01/26/2022,,166117,,79673,,
Aruba,01/27/2022,,166235,86509,79726,,
Aruba,01/28/2022,109,166344,86579,79765,,
Aruba,01/29/2022,,166344,,79765,,
